点赞,特色,耗时,实体类型,经度,课程时长,价格,门票价格,entity_name,名称,产地,来源详情,赞同,文化项目,游玩建议,数据质量,来源数量,天数,交通,适合年龄,收费,贴士,行政区,房型,内容摘要,内容,所属店铺,预约方式,主题,线路名,保护级别,来源平台,时间,分类,地址,标签,适宜季节,entity_id,热度分数,关联内容数,景点,简介,来源,内容分类,开放时间,数据来源,推荐路线,纬度,标题,评论数,信任等级,摘要,推荐游览顺序,来源URL,来源列表,门票数值,评分,最佳季节,图片URL,游玩时长(分钟)
,,30分钟-1小时,,,,,,塔山公园,,,,,,登塔看古城全貌,,,,,,,免费,,,,,,,,,,comprehensive,,,,,,景点0036,,,塔山公园,,,attraction_review,,comprehensive,,,,,2,,山门→应天塔→山顶平台,comprehensive:review:塔山公园,,,,四季皆宜,,
,,30分钟-1小时,,,,,,蕺山公园,,,,,,从书圣故里逛完后登山,,,,,,,免费；清晨登山最好,,,,,,,,,,comprehensive,,,,,,景点0037,,,蕺山公园,,,attraction_review,,comprehensive,,,,,2,,书圣故里→蕺山入口→文笔塔→山顶,comprehensive:review:蕺山公园,,,,四季皆宜,,
,,2-3小时,,,,,,若耶溪,,,,,,自驾沿溪游览最佳,,,,,,,免费；适合自驾,,,,,,,,,,comprehensive,,,,,,景点0038,,,若耶溪,,,attraction_review,,comprehensive,,,,,2,,平水镇→若耶溪→铸剑遗址→云门寺,comprehensive:review:若耶溪,,,,春秋季,,
,,1小时,,,,,,羊山石佛,,,,,,了解越中石佛文化,,,,,,,较冷门景点，游客少,,,,,,,,,,comprehensive,,,,,,景点0039,,,羊山石佛,,,attraction_review,,comprehensive,,,,,2,,山门→石佛殿→摩崖石刻,comprehensive:review:羊山石佛,,,,四季皆宜,,
,,1-1.5小时,,,,,,印山越国王陵,,,,,,了解越国历史和考古发现,,,,,,,人少安静适合慢慢看,,,,,,,,,,comprehensive,,,,,,景点0040,,,印山越国王陵,,,attraction_review,,comprehensive,,,,,2,,入口→王陵遗址→出土文物展厅,comprehensive:review:印山越国王陵,,,,四季皆宜,,
,,1.5-2小时,,,,,,东浦古镇（黄酒小镇）,,,,,,品黄酒逛古镇,,,,,,,免费；可参观古法酿酒,,,,,,,,,,comprehensive,,,,,,景点0041,,,东浦古镇（黄酒小镇）,,,attraction_review,,comprehensive,,,,,2,,古镇入口→古酒坊→老桥→老街→酒文化馆,comprehensive:review:东浦古镇（黄酒小镇）,,,,春秋季,,
,,1-1.5小时,,,,,,诸暨千柱屋,,,,,,欣赏清代民居建筑艺术,,,,,,,位置较偏建议自驾,,,,,,,,,,comprehensive,,,,,,景点0042,,,诸暨千柱屋,,,attraction_review,,comprehensive,,,,,2,,大门→正厅→院落群→后花园,comprehensive:review:诸暨千柱屋,,,,四季皆宜,,
,,2-3小时,,,,,,嵊州越剧小镇,,,,,,越剧爱好者必访,,,,,,,演出需另购票；周末有常规演出,,,,,,,,,,comprehensive,,,,,,景点0043,,,嵊州越剧小镇,,,attraction_review,,comprehensive,,,,,2,,越剧博物馆→古戏台→越剧工坊→演出厅,comprehensive:review:嵊州越剧小镇,,,,四季皆宜,,
,,2-4小时,,,,,,嵊州温泉城,,,,,,冬季最佳，泡温泉+逛古镇,,,,,,,建议提前网上购票；自带泳衣,,,,,,,,,,comprehensive,,,,,,景点0044,,,嵊州温泉城,,,attraction_review,,comprehensive,,,,,2,,更衣→室内温泉→户外泡池→桑拿→休息区,comprehensive:review:嵊州温泉城,,,,冬季,,
,,2-3小时,,,,,,斯宅古村,,,,,,适合自驾深度游,,,,,,,免费；位置偏远建议自驾,,,,,,,,,,comprehensive,,,,,,景点0045,,,斯宅古村,,,attraction_review,,comprehensive,,,,,2,,斯宅村口→千柱屋→发祥居→新屋台门,comprehensive:review:斯宅古村,,,,春秋季,,
,,2-3小时,,,,,,绍兴科技馆,,,,,,亲子游好去处，寓教于乐,,,,,,,免费不免票需预约；周一闭馆,,,,,,,,,,comprehensive,,,,,,展馆0121,,,绍兴科技馆,,,attraction_review,,comprehensive,,,,,2,,一楼基础科学→二楼信息科技→三楼生命科学→4D影院,comprehensive:review:绍兴科技馆,,,,四季皆宜,,
,,1-2小时,,,,,,绍兴非遗馆,,,,,,了解绍兴非遗文化的最佳去处,,,,,,,免费；周一闭馆,,,,,,,,,,comprehensive,,,,,,景点0046,,,绍兴非遗馆,,,attraction_review,,comprehensive,,,,,2,,非遗综述厅→传统技艺厅→传统美术厅→民俗厅→体验区,comprehensive:review:绍兴非遗馆,,,,四季皆宜,,
,,30分钟,,,,,,绍兴城市广场,,,,,,晚上音乐喷泉值得一看,,,,,,,免费；毗邻仓桥直街可串联游览,,,,,,,,,,comprehensive,,,,,,景点0047,,,绍兴城市广场,,,attraction_review,,comprehensive,,,,,2,,大善塔→音乐喷泉→步行至仓桥直街,comprehensive:review:绍兴城市广场,,,,四季皆宜，晚上最佳,,
,,1-2小时,,,,,,迪荡湖公园,,,,,,适合晨跑和傍晚散步,,,,,,,免费；毗邻迪荡商圈,,,,,,,,,,comprehensive,,,,,,景点0048,,,迪荡湖公园,,,attraction_review,,comprehensive,,,,,2,,环湖步道→湖心岛→咖啡馆,comprehensive:review:迪荡湖公园,,,,四季皆宜,,
,,1小时,,,,,,会稽山阳明洞天,,,,,,心学爱好者朝圣之地,,,,,,,与宛委山樱花可串联游览,,,,,,,,,,comprehensive,,,,,,景点0049,,,会稽山阳明洞天,,,attraction_review,,comprehensive,,,,,2,,宛委山入口→阳明洞天→阳明草堂,comprehensive:review:会稽山阳明洞天,,,,春秋季,,
,,1小时,,,,,,越王城遗址,,,,,,历史考古爱好者必访,,,,,,,免费；与府山公园串联游览,,,,,,,,,,comprehensive,,,,,,景点0050,,,越王城遗址,,,attraction_review,,comprehensive,,,,,2,,遗址入口→越王宫殿遗址→文物陈列馆,comprehensive:review:越王城遗址,,,,四季皆宜,,
,,30分钟,,,,,,绍兴名人广场,,,,,,了解绍兴名人文化的快速入门,,,,,,,免费；与城市广场、仓桥直街串联,,,,,,,,,,comprehensive,,,,,,景点0051,,,绍兴名人广场,,,attraction_review,,comprehensive,,,,,2,,大禹像→勾践像→王羲之像→陆游像→鲁迅像,comprehensive:review:绍兴名人广场,,,,四季皆宜,,
,,1-2小时,,,,,,绍兴环城河,,,,,,傍晚沿河散步最佳,,,,,,,免费；可租自行车骑行,,,,,,,,,,comprehensive,,,,,,景点0052,,,绍兴环城河,,,attraction_review,,comprehensive,,,,,2,,任意入口→沿河步道→古桥打卡,comprehensive:review:绍兴环城河,,,,傍晚和夜间,,
,,30分钟,,,,,,稽山公园,,,,,,适合短暂休憩,,,,,,,免费；适合短暂休息,,,,,,,,,,comprehensive,,,,,,景点0053,,,稽山公园,,,attraction_review,,comprehensive,,,,,2,,公园入口→中心湖→假山→亭台,comprehensive:review:稽山公园,,,,四季皆宜,,
,,1小时,,,,,,绍兴市美术馆,,,,,,书画爱好者可关注特展信息,,,,,,,免费；周一闭馆,,,,,,,,,,comprehensive,,,,,,展馆0122,,,绍兴市美术馆,,,attraction_review,,comprehensive,,,,,2,,一楼临展厅→二楼常设展厅,comprehensive:review:绍兴市美术馆,,,,四季皆宜,,
,,2-3小时(含演出),,,,,,绍兴大剧院,,,,,,可关注越剧演出排期,,,,,,,需提前购票,,,,,,,,,,comprehensive,,,,,,展馆0123,,,绍兴大剧院,,,attraction_review,,comprehensive,,,,,2,,大厅→观众席,comprehensive:review:绍兴大剧院,,,,按演出排期,,
,,2-3小时,,,,,,上虞曹娥江,,,,,,春天江边散步最舒适,,,,,,,免费；与曹娥庙串联游览,,,,,,,,,,comprehensive,,,,,,景点0054,,,上虞曹娥江,,,attraction_review,,comprehensive,,,,,2,,曹娥庙→曹娥江畔→中华孝德园,comprehensive:review:上虞曹娥江,,,,春秋季,,
,,3-4小时,,,,,,新昌天烛仙境,,,,,,夏季避暑最佳,,,,,,,景区较新设施完善,,,,,,,,,,comprehensive,,,,,,景点0055,,,新昌天烛仙境,,,attraction_review,,comprehensive,,,,,2,,入口→天烛湖→天烛峰→登山步道,comprehensive:review:新昌天烛仙境,,,,夏秋季,,
,,2-3小时,,,,,,诸暨白塔湖,,,,,,秋季芦花季最美,,,,,,,游船需另购票,,,,,,,,,,comprehensive,,,,,,景点0056,,,诸暨白塔湖,,,attraction_review,,comprehensive,,,,,2,,码头→游船环湖→登岛→返回,comprehensive:review:诸暨白塔湖,,,,秋季,,
,,2-3小时,,,,,,嵊州剡溪,,,,,,唐诗之路爱好者必访,,,,,,,免费；自驾最佳,,,,,,,,,,comprehensive,,,,,,景点0057,,,嵊州剡溪,,,attraction_review,,comprehensive,,,,,2,,剡溪大桥→沿溪公路→剡溪风光带,comprehensive:review:嵊州剡溪,,,,春秋季,,
,,1-2小时,,,,,,绍兴柯桥古镇,,,,,,适合悠闲逛街,,,,,,,免费；有咖啡馆和文创店,,,,,,,,,,comprehensive,,,,,,景点0058,,,绍兴柯桥古镇,,,attraction_review,,comprehensive,,,,,2,,柯桥古桥→老街→运河畔,comprehensive:review:绍兴柯桥古镇,,,,四季皆宜,,
,,1小时,,,,,,上虞祝家庄,,,,,,梁祝爱好者朝圣之地,,,,,,,有梁祝文化展览,,,,,,,,,,comprehensive,,,,,,景点0059,,,上虞祝家庄,,,attraction_review,,comprehensive,,,,,2,,祝府大门→英台楼→梁祝文化展厅,comprehensive:review:上虞祝家庄,,,,春秋季,,
,,2-3小时,,,,,,诸暨白塔湖,,,,,,自驾环湖+访古村,,,,,,,免费；建议自驾,,,,,,,,,,comprehensive,,,,,,景点0056,,,诸暨东白湖,,,attraction_review,,comprehensive,,,,,2,,东白湖大坝→环湖公路→斯宅古村,comprehensive:review:诸暨东白湖,,,,春秋季,,
,,1-2小时,,,,,,绍兴儿童公园,,,,,,适合亲子游,,,,,,,游乐项目另收费,,,,,,,,,,comprehensive,,,,,,景点0060,,,绍兴儿童公园,,,attraction_review,,comprehensive,,,,,2,,入口→游乐区→摩天轮,comprehensive:review:绍兴儿童公园,,,,四季皆宜,,
,,3-4小时,,,,,,绍兴镜湖乐园,,,,,,夏季消暑最佳选择,,,,,,,需自带泳衣；夏季周末人多,,,,,,,,,,comprehensive,,,,,,景点0061,,,绍兴镜湖乐园,,,attraction_review,,comprehensive,,,,,2,,入口→造浪池→水上滑梯→漂流河→儿童区,comprehensive:review:绍兴镜湖乐园,,,,夏季(6-8月),,
,,3-4小时,,,,,,绍兴东方山水乐园,,,,,,适合亲子+雨天,,,,,,,建议网上提前购票有优惠,,,,,,,,,,comprehensive,,,,,,景点0062,,,绍兴东方山水乐园,,,attraction_review,,comprehensive,,,,,2,,入口→4D影院→互动区→纪念品店,comprehensive:review:绍兴东方山水乐园,,,,四季皆宜,,
,,1小时,,,,,,新昌重阳宫,,,,,,道教文化爱好者可访,,,,,,,游客较少环境清幽,,,,,,,,,,comprehensive,,,,,,景点0063,,,新昌重阳宫,,,attraction_review,,comprehensive,,,,,2,,山门→灵官殿→三清殿→后殿,comprehensive:review:新昌重阳宫,,,,四季皆宜,,
,,1小时,,,,,,绍兴龙华寺,,,,,,与八字桥、广宁桥串联,,,,,,,免费；可串联游览,,,,,,,,,,comprehensive,,,,,,景点0064,,,绍兴龙华寺,,,attraction_review,,comprehensive,,,,,2,,八字桥→广宁桥→龙华寺,comprehensive:review:绍兴龙华寺,,,,四季皆宜,,
,,3-4小时,,,,,,诸暨斗岩,,,,,,登山爱好者好去处,,,,,,,体力要求较高,,,,,,,,,,comprehensive,,,,,,景点0065,,,诸暨斗岩,,,attraction_review,,comprehensive,,,,,2,,入口→斗岩大佛→登天梯→山顶,comprehensive:review:诸暨斗岩,,,,春秋季,,
,,2-3小时,,,,,,嵊州南山湖,,,,,,自驾休闲好去处,,,,,,,免费；适合自驾,,,,,,,,,,comprehensive,,,,,,景点0066,,,嵊州南山湖,,,attraction_review,,comprehensive,,,,,2,,南山湖大坝→环湖公路→茶园,comprehensive:review:嵊州南山湖,,,,春秋季,,
,,1小时,,,,,,绍兴越国文化博物馆,,,,,,了解越国历史,,,,,,,免费；毗邻鲁迅故里,,,,,,,,,,comprehensive,,,,,,展馆0124,,,绍兴越国文化博物馆,,,attraction_review,,comprehensive,,,,,2,,越国历史厅→越国文物厅→勾践专题,comprehensive:review:绍兴越国文化博物馆,,,,四季皆宜,,
,,1小时,,,,,,绍兴博物馆,,,,,,气象科普爱好者可访,,,,,,,免费；周末闭馆,,,,,,,,,,comprehensive,,,,,,展馆0119,,,绍兴气象博物馆,,,attraction_review,,comprehensive,,,,,2,,古代气象→现代气象→竺可桢专题,comprehensive:review:绍兴气象博物馆,,,,四季皆宜,,
,,1-2小时,,,,,,绍兴市图书馆,,,,,,研究绍兴文化可去地方文献区,,,,,,,免费；周一闭馆,,,,,,,,,,comprehensive,,,,,,展馆0125,,,绍兴市图书馆,,,attraction_review,,comprehensive,,,,,2,,一楼大厅→地方文献区→古籍区,comprehensive:review:绍兴市图书馆,,,,四季皆宜,,
,,1-2小时,,,,,,绍兴古城墙遗址,,,,,,历史爱好者可沿府山寻城墙遗址,,,,,,,免费；遗址分散需步行,,,,,,,,,,comprehensive,,,,,,景点0067,,,绍兴古城墙遗址,,,attraction_review,,comprehensive,,,,,2,,府山→迎恩门→环城西路遗址,comprehensive:review:绍兴古城墙遗址,,,,四季皆宜,,
,,,,,,500-1200元,,绍兴饭店,,,,,,推荐入住绍兴饭店，府山公园(步行2分钟)、城市广场(步行5分钟),,,,,,,园林房需要提前1周预订；周末有越剧堂会表演；步行到仓桥直街仅5分钟,,标准间|豪华大床房|园林景观套房,,,,,,,,comprehensive,,,,,,景点0068,,,绍兴饭店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:shaoxingfandian,,,,,,
,,,,,,400-800元,,咸亨酒店(住宿部),,,,,,推荐入住咸亨酒店(住宿部)，鲁迅故里(步行1分钟)、沈园(步行8分钟),,,,,,,文化主题房有鲁迅全集可翻阅；楼下就是咸亨酒店餐厅；节假日需提前2周预订,,标准间|文化主题房|孔乙己套房,,,,,,,,comprehensive,,,,,,景点0069,,,咸亨酒店(住宿部),,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:xianheng,,,,,,
,,,,,,200-500元,,仓桥直街,,,,,,推荐入住仓桥直街·水乡民宿，仓桥直街(就在街上)、书圣故里(步行10分钟),,,,,,,河景房最抢手需提前预订；晚上街上小吃摊多但房间隔音好；部分民宿提供乌篷船接送,,大床房|河景房|家庭套房,,,,,,,,comprehensive,,,,,,景点0012,,,仓桥直街·水乡民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:cangqiao,,,,,,
,,,,,,180-400元,,书圣故里,,,,,,推荐入住书圣故里·墨韵民宿，书圣故里(步行1分钟)、蔡元培故居(步行3分钟),,,,,,,书法主题房有免费书法体验；周边早餐店多；比仓桥直街安静更适合深度游,,大床房|双床房|书法主题房,,,,,,,,comprehensive,,,,,,景点0011,,,书圣故里·墨韵民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:shusheng,,,,,,
,,,,,,450-900元,,绍兴世茂皇冠假日酒店,,,,,,推荐入住绍兴世茂皇冠假日酒店，迪荡湖公园(步行5分钟)、八字桥(打车10分钟),,,,,,,行政楼层有免费下午茶；楼下就是世茂美食街；有免费停车场,,高级房|豪华房|行政套房,,,,,,,,comprehensive,,,,,,景点0070,,,绍兴世茂皇冠假日酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:crowneplaza,,,,,,
,,,,,,250-500元,,绍兴鲁迅故里开元曼居,,,,,,推荐入住绍兴鲁迅故里开元曼居，鲁迅故里(步行3分钟)、沈园(步行10分钟),,,,,,,家庭房有儿童洗漱用品；含早餐自助；停车位有限建议公共交通,,大床房|双床房|家庭房,,,,,,,,comprehensive,,,,,,景点0001,,,绍兴鲁迅故里开元曼居,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:manyiju,,,,,,
,,,,,,600-1500元,,绍兴大禹开元观堂,,,,,,推荐入住绍兴大禹开元观堂，大禹陵(步行5分钟)、宛委山(步行15分钟),,,,,,,温泉需提前预约；庭院别墅适合家庭或情侣；距离市区较远建议自驾,,景观房|庭院别墅|温泉套房,,,,,,,,comprehensive,,,,,,景点0071,,,绍兴大禹开元观堂,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:dayukaiyuan,,,,,,
,,,,,,150-350元,,安昌古镇·水岸客栈,,,,,,推荐入住安昌古镇·水岸客栈，安昌古镇(就在古镇内)、柯岩风景区(打车20分钟),,,,,,,腊月风情节期间价格翻倍需提前1月预订；早上古镇最安静适合拍照；客栈老板可代买腊肠,,大床房|双床房|河景大床房,,,,,,,,comprehensive,,,,,,景点0006,,,安昌古镇·水岸客栈,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:anchang,,,,,,
,,,,,,400-900元,,柯岩鉴湖度假酒店,,,,,,推荐入住柯岩鉴湖度假酒店，柯岩风景区(步行5分钟)、鉴湖(步行3分钟),,,,,,,湖景房早上一开窗就是鉴湖晨雾；酒店可代买柯岩门票有折扣,,湖景房|亲子房|套房,,,,,,,,comprehensive,,,,,,景点0072,,,柯岩鉴湖度假酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:keyanresort,,,,,,
,,,,,,300-600元,,新昌大佛寺·禅意酒店,,,,,,推荐入住新昌大佛寺·禅意酒店，新昌大佛寺(步行3分钟)、穿岩十九峰(打车30分钟),,,,,,,早上可随僧人做早课(需预约)；酒店提供素食餐厅；适合静心修养,,禅意大床房|双床房|景观套房,,,,,,,,comprehensive,,,,,,景点0008,,,新昌大佛寺·禅意酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:chanyi,,,,,,
,,,,,,400-900元,,嵊州温泉度假村,,,,,,推荐入住嵊州温泉度假村，崇仁古镇(打车15分钟)、百丈飞瀑(打车25分钟),,,,,,,冬季旺季需提前预订；自带泳衣；温泉区有自助餐厅,,标准间|温泉套房|别墅,,,,,,,,comprehensive,,,,,,景点0073,,,嵊州温泉度假村,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:shengzhouhotspring,,,,,,
,,,,,,200-500元,,诸暨五泄·山水间,,,,,,推荐入住诸暨五泄·山水间，五泄风景区(步行10分钟),,,,,,,木屋需提前1周预订；民宿有农家菜餐厅；自驾最佳,,山景大床房|家庭房|独栋木屋,,,,,,,,comprehensive,,,,,,景点0074,,,诸暨五泄·山水间,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:wuxie,,,,,,
,,,,,,100-300元,,覆卮山,,,,,,推荐入住上虞覆卮山·梯田人家，覆卮山梯田(步行5分钟)、冰川石浪(步行15分钟),,,,,,,油菜花季(3-4月)需提前2周预订；农家土鸡煲必尝；适合团建和亲子,,标间|大床房|通铺(团建),,,,,,,,comprehensive,,,,,,景点0021,,,上虞覆卮山·梯田人家,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:titian,,,,,,
,,,,,,500-1000元,,绍兴镜湖·悦椿酒店,,,,,,推荐入住绍兴镜湖·悦椿酒店，镜湖湿地公园(步行5分钟)、绍兴北站(打车10分钟),,,,,,,有免费高铁站接送；湖景房面朝镜湖视野开阔；周末自助餐性价比高,,高级房|湖景房|行政套房,,,,,,,,comprehensive,,,,,,景点0075,,,绍兴镜湖·悦椿酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:jinghu,,,,,,
,,,,,,280-500元,,绍兴银泰大酒店,,,,,,推荐入住绍兴银泰大酒店，鲁迅故里(步行10分钟)、城市广场(步行15分钟),,,,,,,楼下银泰城美食选择多；离鲁迅故里步行可达；有地下停车场,,大床房|双床房|商务房,,,,,,,,comprehensive,,,,,,景点0076,,,绍兴银泰大酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:yinta,,,,,,
,,,,,,50-150元,,绍兴鲁迅故里开元曼居,,,,,,推荐入住绍兴鲁迅故里青年旅舍，鲁迅故里(步行2分钟)、沈园(步行10分钟),,,,,,,床位50元起最实惠；公共区域可结交旅友；提前网上预订有优惠,,床位|单人间|双人间,,,,,,,,comprehensive,,,,,,景点0001,,,绍兴鲁迅故里青年旅舍,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:youthhostel,,,,,,
,,,,,,200-450元,,绍兴越城·老台门民宿,,,,,,推荐入住绍兴越城·老台门民宿，鲁迅故里(步行5分钟)、沈园(步行10分钟),,,,,,,台门套间最有特色；老宅隔音一般介意者慎选；早餐有绍兴特色小吃,,大床房|双床房|台门套间,,,,,,,,comprehensive,,,,,,景点0077,,,绍兴越城·老台门民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:taimen,,,,,,
,,,,,,300-550元,,绍兴迪荡·亚朵酒店,,,,,,推荐入住绍兴迪荡·亚朵酒店，迪荡湖公园(步行5分钟)、八字桥(打车10分钟),,,,,,,大堂书吧可免费借阅；竹居房间有茶具；有自助洗衣房,,高级大床房|几木双床房|行政房,,,,,,,,comprehensive,,,,,,景点0078,,,绍兴迪荡·亚朵酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:yaduo,,,,,,
,,,,,,180-400元,,新昌穿岩·十九峰山居,,,,,,推荐入住新昌穿岩·十九峰山居，穿岩十九峰(步行10分钟)、千丈幽谷(步行15分钟),,,,,,,帐篷营地夏季开放需自带睡袋；民宿提供登山杖租赁；周边农家菜值得一尝,,山景房|家庭房|帐篷营地,,,,,,,,comprehensive,,,,,,景点0079,,,新昌穿岩·十九峰山居,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:shiju,,,,,,
,,,,,,180-380元,,诸暨西施·浣纱民宿,,,,,,推荐入住诸暨西施·浣纱民宿，西施故里(步行3分钟),,,,,,,江景房日落时分最美；民宿可代买西施故里门票；附近有不错的诸暨蒸菜馆,,大床房|双床房|浣纱江景房,,,,,,,,comprehensive,,,,,,景点0080,,,诸暨西施·浣纱民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:huansha,,,,,,
,,,,,,500-1200元,,绍兴会稽山·阳明酒店,,,,,,推荐入住绍兴会稽山·阳明酒店，阳明洞天(步行15分钟)、宛委山(步行20分钟),,,,,,,有心学讲座和晨间太极课；周边可徒步会稽山步道；距市区较远建议自驾,,山景房|阳明文化套房|别墅,,,,,,,,comprehensive,,,,,,景点0081,,,绍兴会稽山·阳明酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:yangming,,,,,,
,,,,,,150-300元,,绍兴鲁迅故里开元曼居,,,,,,推荐入住绍兴鲁迅故里·如家精选，鲁迅故里(步行5分钟)、百草园(步行8分钟),,,,,,,性价比首选；提前网上预订有优惠；部分房间较小,,大床房|双床房|家庭房,,,,,,,,comprehensive,,,,,,景点0001,,,绍兴鲁迅故里·如家精选,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:rujia,,,,,,
,,,,,,300-600元,,柯桥乔波·冰雪酒店,,,,,,推荐入住柯桥乔波·冰雪酒店，乔波冰雪世界(步行1分钟)、柯岩风景区(打车15分钟),,,,,,,酒店+滑雪套餐更划算；亲子房需提前预订；暑期寒假是旺季,,标准间|亲子房|冰雪主题套房,,,,,,,,comprehensive,,,,,,景点0082,,,柯桥乔波·冰雪酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:qiaobo,,,,,,
,,,,,,200-400元,,绍兴东湖·湖光山色民宿,,,,,,推荐入住绍兴东湖·湖光山色民宿，东湖风景区(步行10分钟),,,,,,,建议早上去东湖人少；民宿老板可帮订乌篷船票；周边餐馆少建议在景区内用餐,,湖景房|大床房|家庭房,,,,,,,,comprehensive,,,,,,景点0003,,,绍兴东湖·湖光山色民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:donghu,,,,,,
,,,,,,300-600元,,绍兴·六和藏院,,,,,,推荐入住绍兴·六和藏院，府山公园(步行3分钟)、仓桥直街(步行8分钟),,,,,,,loft套房最受欢迎需抢订；庭院下午茶很出片；适合情侣和文艺青年,,庭院大床房|loft套房|茶室套房,,,,,,,,comprehensive,,,,,,景点0083,,,绍兴·六和藏院,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:liuhe,,,,,,
,,,,,,180-350元,,嵊州越剧小镇,,,,,,推荐入住嵊州越剧小镇·戏韵民宿，越剧小镇(就在小镇内),,,,,,,周末有越剧演出提前占座；民宿可安排越剧化妆体验(另收费)；适合戏迷,,大床房|双床房|越剧主题房,,,,,,,,comprehensive,,,,,,景点0043,,,嵊州越剧小镇·戏韵民宿,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:xiyun,,,,,,
,,,,,,250-500元,,绍兴柯桥·亚帆酒店,,,,,,推荐入住绍兴柯桥·亚帆酒店，柯岩风景区(打车15分钟)、安昌古镇(打车20分钟),,,,,,,性价比高；楼下万达餐饮选择多；停车免费,,大床房|双床房|商务套房,,,,,,,,comprehensive,,,,,,景点0084,,,绍兴柯桥·亚帆酒店,,,attraction_review,,comprehensive,,,,,2,,,ctrip_hotel:yafan,,,,,,
,,,,,,150-350元,,天姥山,,,,,,推荐入住绍兴新昌·天姥山居，天姥山(就在山脚)、斑竹村(步行5分钟),,,,,,,登山前跟老板要份路线图；民宿提供登山杖；周边无餐厅需在民宿用餐,,大床房|双床房|山景套房,,,,,,,,comprehensive,,,,,,景点0019,,,绍兴新昌·天姥山居,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:tianmu,,,,,,
,,,,,,100-250元,,诸暨·白塔湖渔家乐,,,,,,推荐入住诸暨·白塔湖渔家乐，白塔湖(就在湖畔),,,,,,,可以跟老板学钓鱼；湖鲜是特色必尝；适合自驾,,标间|大床房|多人间,,,,,,,,comprehensive,,,,,,景点0085,,,诸暨·白塔湖渔家乐,,,attraction_review,,comprehensive,,,,,2,,,meituan_bnb:baita,,,,,,
,,,,,1.5小时,,,鲁迅故里小吃街,,,,,,小小鲁迅——私塾课堂体验,,,,,6-15岁,50元/人,穿长衫戴瓜皮帽体验旧时私塾；老师用绍兴话教《三字经》；结束后有'早'字描红体验,,,,,,提前1天电话预约,,,,comprehensive,,,,研学|亲子|鲁迅文化|私塾,,美食0151,,,鲁迅故里三味书屋,,,attraction_review,,comprehensive,,,,,3,,,comprehensive:study:luxun,,,,,,
,,,,,3小时,,,兰亭景区,,,,,,我是小书圣——书法研学营,,,,,8-18岁,120元/人(含门票),穿汉服体验曲水流觞；书法家现场指导写'兰亭'二字；作品可带走,,,,,,提前3天预约，20人成团,,,,comprehensive,,,,研学|书法|亲子|传统文化,,景点0004,,,兰亭景区,,,attraction_review,,comprehensive,,,,,3,,,comprehensive:study:lanting,,,,,,
,,,,,2小时,,,中国黄酒博物馆,,,,,,小小酿酒师——黄酒酿造体验,,,,,10岁以上,80元/人,了解七千年黄酒史；体验浸米蒸饭落缸环节；可带走一小瓶自酿黄酒(非饮用版),,,,,,提前1天预约,,,,comprehensive,,,,研学|亲子|黄酒文化|DIY,,展馆0120,,,中国黄酒博物馆,,,attraction_review,,comprehensive,,,,,3,,,comprehensive:study:huangjiu,,,,,,
,,,,,1.5小时,,,安昌古镇仁昌酱园,,,,,,酱油是怎样酿成的——酱文化研学,,,,,6-18岁,30元/人,参观百年酱园晒场；了解酱油从黄豆到成品的180天历程；每人赠送一小瓶酱油,,,,,,提前1天预约,,,,comprehensive,,,,研学|亲子|酱文化|非遗,,美食0141,,,仁昌酱园,,,attraction_review,,comprehensive,,,,,3,,,comprehensive:study:jiangyuan,,,,,,
